Parameter,Value,Unit,Step,Source,Expected,Status,Notes
"R","0.50","Ohm","Step 1-6","params.m","0.50","VERIFIED MATCH","Armature Resistance"
"L","0.0005","H","Step 1-6","params.m","0.0005","VERIFIED MATCH","Armature Inductance (1 ms tau_e)"
"Kt","0.050","N m/A","Step 1-6","params.m","0.050","VERIFIED MATCH","Torque Constant"
"Ke","0.050","V s/rad","Step 1-6","params.m","0.050","VERIFIED MATCH","Back-EMF Constant (Exact SI match with Kt)"
"J0","1.0e-5","kg m^2","Step 1-6","params.m","1.0e-5","VERIFIED MATCH","Rotor Inertia (2 ms tau_m)"
"B","1.0e-5","N m s/rad","Step 1-6","params.m","1.0e-5","VERIFIED MATCH","Viscous Damping Coefficient"
"Vdc","12.0","V","Step 3-6","params.m","12.0","VERIFIED MATCH","DC H-Bridge Voltage Supply"
"PPR","250","pulses/rev","Step 2-6","params.m","250","VERIFIED MATCH","Optical Disk Lines"
"quadrature_factor","4","edges/pulse","Step 2-6","params.m","4","VERIFIED MATCH","4x Quadrature Decoding"
"CPR","1000","counts/rev","Step 2-6","params.m","1000","VERIFIED MATCH","Counts Per Revolution"
"res_deg","0.3600","deg/count","Step 2-6","params.m","0.3600","VERIFIED MATCH","360 / 1000 = 0.36 deg/count"
"res_rad","0.006283185","rad/count","Step 2-6","params.m","0.006283185","VERIFIED MATCH","2*pi / 1000 rad/count"
"Ts_disc","0.001","s","Step 5-6","params.m","0.001","VERIFIED MATCH","1 kHz MCU Discrete Sample Period"
"Kp_disc","0.50","dimensionless","Step 5-6","params.m","0.50","VERIFIED MATCH","Discrete Proportional Gain"
"Ki_disc","8.00","s^-1","Step 5-6","params.m","8.00","VERIFIED MATCH","Discrete Integral Gain"
"Kd_disc","0.0000","s","Step 5-6","params.m","0.0000","VERIFIED MATCH","Discrete Derivative Gain"
"N_disc","20","dimensionless","Step 5-6","params.m","20","VERIFIED MATCH","Derivative Filter Coefficient"
"a_max","50.0","rad/s^2","Step 5-6","params.m","50.0","VERIFIED MATCH","Trapezoidal Max Acceleration"
"omega_max","8.0","rad/s","Step 5-6","params.m","8.0","VERIFIED MATCH","Trapezoidal Cruising Velocity"
"theta_target","90.0","deg","Step 4-6","params.m","90.0","VERIFIED MATCH","1.5707963 rad Target Command"
"Kff_v","0.004175","V/(rad/s)","Step 5-6","params.m","0.004175","VERIFIED MATCH","(Ke + R*B/Kt) / Vdc"
"Kff_a","0.00000834","V/(rad/s^2)","Step 5-6","params.m","0.00000834","VERIFIED MATCH","(J*R/Kt + L*B/Kt) / Vdc"
"Kff_L","0.833333","1/(N m)","Step 6","build_and_run_stage6.m","0.833333","VERIFIED MATCH","R / (Vdc * Kt) Physics Gain"
"TL_step_val","0.010","N m","Step 6","params.m","0.010","VERIFIED MATCH","Load Disturbance Torque Step"
"T_stick","0.0020","N m","Step 6","params.m","0.0020","VERIFIED MATCH","Static Stiction Breakaway Torque"
"T_coulomb","0.0010","N m","Step 6","params.m","0.0010","VERIFIED MATCH","Dynamic Coulomb Friction Torque"
