Parameter,Step1,Step2,Step3,Step4,Step5,Step6,Expected,Consistent,Notes
"R (Armature Resistance)","0.50 Ohm","0.50 Ohm","0.50 Ohm","0.50 Ohm","0.50 Ohm","0.50 Ohm","0.50 Ohm","YES","Preserved across all steps"
"L (Armature Inductance)","0.0005 H","0.0005 H","0.0005 H","0.0005 H","0.0005 H","0.0005 H","0.0005 H","YES","Preserved across all steps"
"Kt (Torque Constant)","0.050 N m/A","0.050 N m/A","0.050 N m/A","0.050 N m/A","0.050 N m/A","0.050 N m/A","0.050 N m/A","YES","Preserved across all steps"
"Ke (Back-EMF Constant)","0.050 V s/rad","0.050 V s/rad","0.050 V s/rad","0.050 V s/rad","0.050 V s/rad","0.050 V s/rad","0.050 V s/rad","YES","Exact SI match with Kt"
"J (Rotor Inertia)","1e-5 kg m^2","1e-5 kg m^2","1e-5 kg m^2","1e-5 kg m^2","1e-5 kg m^2","1e-5 to 3e-5","1e-5 kg m^2","YES","Controlled variation in Step 6 sweep"
"B (Viscous Damping)","1e-5 N m s/rad","1e-5 N m s/rad","1e-5 N m s/rad","1e-5 N m s/rad","1e-5 N m s/rad","1e-5 N m s/rad","1e-5 N m s/rad","YES","Preserved across all steps"
"CPR (Encoder Resolution)","N/A","1000 CPR","1000 CPR","1000 CPR","1000 CPR","1000 CPR","1000 CPR","YES","250 PPR x 4 = 1000 CPR (0.36 deg/count)"
"Vdc (DC Supply Voltage)","12.0 V","12.0 V","12.0 V","12.0 V","12.0 V","12.0 V","12.0 V","YES","Averaged H-Bridge supply voltage"
"Ts (Discrete Sample Time)","Continuous","Continuous","Continuous","Continuous","0.001 s","0.001 s","0.001 s (1 kHz)","YES","Step 1-4 continuous, Step 5-6 1kHz discrete MCU"
"Controller Gains (Discrete PID)","N/A","N/A","N/A","Kp=1.0, Ki=0.1, Kd=0.05 (Cont)","Kp=0.50, Ki=8.0, Kd=0 (Disc)","Kp=0.50, Ki=8.0, Kd=0 (Disc)","Kp=0.5, Ki=8, Kd=0","YES","Step 4 continuous PID vs Step 5-6 discrete PID"
"Kff_v (Velocity Feedforward)","N/A","N/A","N/A","N/A","0.004175 V/(rad/s)","0.004175 V/(rad/s)","0.004175 V/(rad/s)","YES","Derived from (Ke + R*B/Kt)/Vdc"
"Kff_a (Accel Feedforward)","N/A","N/A","N/A","N/A","0.00000834 V/(rad/s^2)","0.00000834 V/(rad/s^2)","0.00000834 V/(rad/s^2)","YES","Derived from (J*R/Kt + L*B/Kt)/Vdc"
"Kff_L (Load Feedforward)","N/A","N/A","N/A","N/A","N/A","0.833333 1/(N m)","0.833333 1/(N m)","YES","Derived from R / (Vdc * Kt)"
